,latitude,longitude,free_bikes
78,43.670318,-79.405181,6
79,43.676667,-79.416111,0
80,43.640634,-79.435841,17
81,43.639444,-79.423611,21
82,43.67,-79.42083333333333,11
83,43.671389,-79.416389,8
84,43.68,-79.42500000000001,0
85,43.6394444,-79.42527777777778,15
86,43.675791,-79.40698,1
87,43.675556,-79.410278,0
88,43.674444,-79.414722,1
89,43.671513,-79.408317,14
90,43.6783213,-79.35822,10
91,43.6848652,-79.356602,10
92,43.68395,-79.347046,8
93,43.690537,-79.341307,3
94,43.704461,-79.423122,0
95,43.659195,-79.329196,4
96,43.651885,-79.3649,15
97,43.682645,-79.377557,4
98,43.6475,-79.43305555555555,4
99,43.6494896,-79.393535,5
100,43.671526,-79.44874,1
101,43.6452972,-79.3827914,5
102,43.6452091,-79.3960744,8
103,43.6555556,-79.43361111111112,3
104,43.678077,-79.390328,8
105,43.645665,-79.415345,15
106,43.6493472,-79.42668,6
107,43.660207,-79.361275,24
108,43.648655,-79.367061,26
109,43.648711,-79.389728,22
110,43.6605603,-79.3437663,14
111,43.6561111,-79.36138888888888,9
112,43.652219,-79.354455,26
113,43.650279,-79.356832,14
114,43.649147,-79.395504,4
115,43.643795,-79.375413,14
116,43.662085,-79.397735,2
117,43.659575,-79.365769,14
118,43.65205,-79.362198,16
119,43.668456,-79.393899,0
120,43.639052,-79.399792,19
121,43.6448617,-79.42822,14
122,43.6409,-79.432837,13
123,43.660414,-79.415646,14
124,43.661975,-79.407896,0
125,43.65905,-79.422988,5
126,43.66,-79.4088888888889,4
127,43.690564,-79.326319,10
128,43.688325,-79.300463,3
129,43.65716,-79.46478,8
130,43.6772,-79.35858,5
131,43.662712,-79.379903,16
132,43.658938,-79.383518,15
133,43.683378,-79.322961,7
134,43.6425636,-79.3762,15
135,43.6521,-79.4486,5
136,43.669969,-79.386532,0
137,43.633473,-79.425679,12
138,43.630254,-79.420317,6
139,43.662403,-79.423098,9
140,43.656945,-79.424911,8
141,43.6817346,-79.4184725,1
142,43.683296,-79.418734,0
143,43.673831,-79.281455,13
144,43.666325,-79.3014,8
145,43.651145,-79.423742,16
146,43.654905,-79.398448,3
147,43.651118,-79.369411,1
148,43.6571,-79.4056,6
149,43.652823,-79.393388,18
150,43.665527,-79.387499,7
151,43.6582,-79.3768,14
152,43.671172,-79.354704,10
153,43.677076,-79.35667,6
154,43.680223,-79.344062,10
155,43.678401,-79.346289,2
156,43.681991,-79.329455,6
157,43.6422222,-79.41111111111111,15
158,43.663808,-79.410491,12
159,43.6666667,-79.41166666666668,2
160,43.6638889,-79.41888888888889,1
161,43.661705,-79.425734,1
162,43.6686111,-79.42027777777778,3
163,43.665327,-79.43235,5
164,43.657343,-79.43112,4
165,43.645324,-79.40345,22
166,43.650256,-79.36163,12
167,43.651111111111106,-79.4213888888889,17
168,43.656296,-79.414663,13
169,43.651281,-79.411717,10
170,43.65277778,-79.42972222,4
171,43.655,-79.418889,17
172,43.668553,-79.338673,17
173,43.663912,-79.327987,14
174,43.6462176,-79.3855048,2
175,43.69595,-79.328535,5
176,43.6753188,-79.3462789,2
177,43.6720273,-79.3470557,8
178,43.637981,-79.424146,13
179,43.640885,-79.416379,8
180,43.6552778,-79.36583333333333,7
181,43.6712581,-79.376367,8
182,43.664524,-79.36793,17
183,43.665867,-79.362506,8
184,43.648575,-79.380042,0
185,43.643473,-79.390477,2
186,43.645859,-79.38783,2
187,43.640722,-79.391051,8
188,43.66207,-79.37617,12
189,43.660206,-79.3244,8
190,43.668633,-79.291162,14
191,43.665801,-79.384796,0
192,43.668153,-79.38891,0
193,43.657024,-79.377257,1
194,43.662862,-79.383572,7
195,43.7063473,-79.40161,2
196,43.6978701,-79.39419,7
197,43.696708,-79.40045,4
198,43.6476616,-79.37549,1
199,43.6487245,-79.36839,16
200,43.64852,-79.380576,8
