,bike_station#,latitude,longitude,free_bikes,num_of_bars,avg_bar_rating,min_bar_dist,num_of_libs,avg_lig_rating,min_lib_dist
135,135,43.6521,-79.4486,5,29,3.810344827586207,40.52,2,2.25,603.54
136,136,43.669969,-79.386532,0,50,3.66,79.84,10,4.3,104.61
137,137,43.633473,-79.425679,12,22,3.8181818181818183,197.54,1,3.5,1014.82
138,138,43.630254,-79.420317,6,11,3.3181818181818183,372.23,0,,
139,139,43.662403,-79.423098,9,50,3.93,28.54,2,4.0,767.52
140,140,43.656945,-79.424911,8,50,3.94,312.41,1,4.0,437.53
141,141,43.6817346,-79.4184725,1,3,2.8333333333333335,129.28,1,3.5,78.59
142,142,43.683296,-79.418734,0,4,3.0,43.07,1,3.5,144.87
143,143,43.673831,-79.281455,13,6,3.5833333333333335,558.94,0,,
144,144,43.666325,-79.3014,8,9,3.5555555555555554,336.97,1,4.0,472.1
145,145,43.651145,-79.423742,16,50,3.89,212.74,1,4.0,515.1
146,146,43.654905,-79.398448,3,50,3.87,127.99,9,3.611111111111111,336.56
147,147,43.651118,-79.369411,1,50,3.58,100.43,3,3.3333333333333335,36.95
148,148,43.6571,-79.4056,6,50,3.94,3.99,7,3.5,572.8
149,149,43.652823,-79.393388,18,50,3.87,153.88,8,3.875,123.26
150,150,43.665527,-79.387499,7,50,3.69,80.1,14,4.071428571428571,180.01
151,151,43.6582,-79.3768,14,50,3.64,63.52,9,3.3333333333333335,312.22
152,152,43.671172,-79.354704,10,18,3.138888888888889,604.61,1,4.0,599.27
153,153,43.677076,-79.35667,6,16,3.15625,60.06,0,,
154,154,43.680223,-79.344062,10,19,3.0,144.26,1,4.0,187.62
155,155,43.678401,-79.346289,2,19,3.0526315789473686,55.96,1,4.0,159.6
156,156,43.681991,-79.329455,6,19,3.5789473684210527,45.09,1,3.5,677.68
157,157,43.6422222,-79.41111111111111,15,50,3.78,87.99,0,,
158,158,43.663808,-79.410491,12,50,3.88,36.44,3,3.3333333333333335,299.79
159,159,43.6666667,-79.41166666666668,2,41,3.768292682926829,86.71,3,3.3333333333333335,265.37
160,160,43.6638889,-79.41888888888889,1,50,3.96,74.99,2,4.0,398.27
161,161,43.661705,-79.425734,1,48,3.9166666666666665,54.38,2,4.0,697.53
162,162,43.6686111,-79.42027777777778,3,28,3.9285714285714284,339.68,2,3.25,621.37
163,163,43.665327,-79.43235,5,33,4.03030303030303,470.99,1,4.0,623.78
164,164,43.657343,-79.43112,4,50,4.0,336.37,1,4.0,359.37
165,165,43.645324,-79.40345,22,50,3.84,55.2,2,3.25,743.04
166,166,43.650256,-79.36163,12,19,3.736842105263158,131.86,2,2.5,544.0
167,167,43.65111111111111,-79.4213888888889,17,50,3.93,177.72,1,4.0,447.99
168,168,43.656296,-79.414663,13,50,4.05,94.19,2,4.0,455.98
169,169,43.651281,-79.411717,10,50,4.18,22.56,2,3.5,507.05
170,170,43.65277778,-79.42972222,4,50,3.94,234.59,1,4.0,870.8
171,171,43.655,-79.418889,17,50,4.13,44.94,1,4.0,110.54
172,172,43.668553,-79.338673,17,26,4.076923076923077,97.57,1,3.0,453.09
173,173,43.663912,-79.327987,14,24,4.0,18.67,2,3.25,561.22
174,174,43.6462176,-79.3855048,2,50,3.82,95.39,6,4.166666666666667,639.66
175,175,43.69595,-79.328535,5,2,2.25,149.94,1,4.5,431.15
176,176,43.6753188,-79.3462789,2,23,3.1739130434782608,317.36,1,4.0,399.84
177,177,43.6720273,-79.3470557,8,21,3.1666666666666665,574.66,2,4.0,757.26
178,178,43.637981,-79.424146,13,47,3.702127659574468,255.47,1,3.5,749.66
179,179,43.640885,-79.416379,8,50,3.75,256.42,0,,
180,180,43.6552778,-79.36583333333333,7,48,3.75,383.69,4,3.0,536.81
181,181,43.6712581,-79.376367,8,41,3.6707317073170733,31.33,2,3.75,402.54
182,182,43.664524,-79.36793,17,20,3.85,103.91,3,3.1666666666666665,314.12
183,183,43.665867,-79.362506,8,13,4.038461538461538,447.0,1,2.0,632.28
184,184,43.648575,-79.380042,0,50,3.83,115.68,6,4.25,527.03
185,185,43.643473,-79.390477,2,50,3.91,37.33,2,4.25,1035.36
186,186,43.645859,-79.38783,2,50,3.8,79.89,6,4.166666666666667,732.55
187,187,43.640722,-79.391051,8,50,3.8,58.68,0,,
188,188,43.66207,-79.37617,12,50,3.58,219.21,7,3.4285714285714284,563.9
189,189,43.660206,-79.3244,8,8,4.0,417.29,0,,
190,190,43.668633,-79.291162,14,4,4.0,439.53,1,4.0,620.05
191,191,43.665801,-79.384796,0,50,3.79,68.18,11,4.136363636363637,395.74
192,192,43.668153,-79.38891,0,50,3.67,132.01,15,4.133333333333334,245.69
193,193,43.657024,-79.377257,1,50,3.7,126.21,9,3.6666666666666665,322.36
194,194,43.662862,-79.383572,7,50,3.68,69.57,11,4.181818181818182,535.84
195,195,43.7063473,-79.40161,2,25,3.5,241.27,1,3.5,256.07
196,196,43.6978701,-79.39419,7,14,3.5714285714285716,193.12,1,2.0,829.17
197,197,43.696708,-79.40045,4,15,3.533333333333333,336.49,1,3.0,1099.2
198,198,43.6476616,-79.37549,1,50,3.69,92.6,6,3.5,345.91
199,199,43.6487245,-79.36839,16,50,3.57,159.62,3,3.3333333333333335,152.55
200,200,43.64852,-79.380576,8,50,3.83,86.94,5,4.1,499.91
201,201,43.656026,-79.385327,12,50,3.65,159.4,11,4.136363636363637,299.78
202,202,43.645323,-79.395003,12,50,3.9,24.96,3,4.333333333333333,801.87
203,203,43.677778,-79.405556,4,17,3.735294117647059,257.55,0,,
204,204,43.641646,-79.375308,18,50,3.53,69.15,2,3.75,864.43
205,205,43.646162,-79.378912,1,50,3.77,98.61,5,4.1,665.31
206,206,43.687323,-79.304848,1,4,3.375,373.45,0,,
207,207,43.668991,-79.379385,12,50,3.66,264.19,6,4.083333333333333,395.3
208,208,43.6622222,-79.3825,14,50,3.62,102.21,10,4.1,447.32
209,209,43.64333333333333,-79.40555555555557,9,50,3.82,213.05,2,3.25,639.09
210,210,43.6575,-79.39527777777778,15,50,3.69,211.39,13,3.9615384615384617,237.35
211,211,43.657424,-79.381019,12,50,3.64,51.69,8,4.125,25.44
212,212,43.64595,-79.378761,0,50,3.76,99.87,6,3.8333333333333335,653.36
213,213,43.668427,-79.38725,1,50,3.68,59.54,12,4.125,273.66
214,214,43.669604,-79.381171,5,50,3.72,143.18,8,4.125,470.34
215,215,43.661673,-79.337789,13,26,4.019230769230769,29.07,1,3.0,545.25
216,216,43.665656,-79.352055,14,20,4.075,35.81,2,3.75,80.26
217,217,43.6308933,-79.4722622,15,3,3.5,190.57,0,,
218,218,43.6224434,-79.480284,15,5,3.9,340.32,0,,
219,219,43.66986,-79.398443,0,48,3.6041666666666665,112.37,12,3.875,203.73
220,220,43.659471,-79.350325,9,27,3.9074074074074074,50.08,2,3.75,212.25
221,221,43.650492,-79.450842,12,28,3.75,50.64,2,2.25,503.71
222,222,43.640255,-79.439223,15,25,4.08,50.77,2,2.25,566.15
223,223,43.637922,-79.431734,8,23,3.9565217391304346,42.02,1,3.5,387.14
224,224,43.643769,-79.447915,10,27,3.8703703703703702,21.46,3,1.8333333333333333,170.69
225,225,43.649172,-79.4445087,8,25,3.78,231.91,3,1.8333333333333333,309.72
226,226,43.663912,-79.416124,8,50,4.02,51.6,3,4.0,205.0
227,227,43.66587,-79.33443,14,25,4.08,375.41,1,3.0,17.39
228,228,43.658816,-79.367318,4,35,3.7714285714285714,78.53,5,2.9,325.8
229,229,43.654004,-79.444792,7,35,3.857142857142857,33.27,2,2.25,792.03
230,230,43.6397,-79.44865,18,12,4.083333333333333,223.33,3,1.8333333333333333,154.36
231,231,43.653809,-79.3595,10,17,3.911764705882353,158.32,1,2.0,1135.25
232,232,43.673768,-79.391253,0,50,3.68,244.89,9,4.277777777777778,309.24
233,233,43.656638,-79.358749,18,21,3.857142857142857,129.27,0,,
234,234,43.716652,-79.399993,6,9,3.388888888888889,532.38,2,3.25,908.02
235,235,43.684261,-79.299332,10,2,3.25,478.81,0,,
236,236,43.678685,-79.297974,6,4,4.25,72.39,1,4.0,969.6
237,237,43.65143,-79.47779,2,6,3.6666666666666665,91.06,3,3.6666666666666665,318.53
238,238,43.64976,-79.48477,2,6,3.6666666666666665,71.71,2,3.75,600.81
239,239,43.664182,-79.449066,0,16,3.84375,239.98,1,3.5,388.9
240,240,43.64407,-79.3929,19,50,3.95,144.75,2,4.0,813.77
241,241,43.61868,-79.48674,7,3,4.0,646.91,1,4.0,704.63
242,242,43.6442,-79.38702,1,50,3.79,97.64,2,4.25,872.78
243,243,43.64283,-79.38409,9,50,3.61,26.88,1,4.5,999.66
244,244,43.65182,-79.47421,11,5,3.7,116.05,3,3.6666666666666665,30.49
245,245,43.685569,-79.408019,0,2,3.5,800.23,0,,
246,246,43.651678,-79.375233,1,50,3.8,70.31,8,3.5625,435.89
247,247,43.651838,-79.378743,1,50,3.86,89.87,8,3.8125,399.87
248,248,43.665221,-79.394009,1,50,3.73,357.2,19,3.973684210526316,166.38
249,249,43.688148,-79.362101,13,0,,,0,,
